date,rf,inflow,etp
2002-01-01,0.30 ,1.14 ,0.63 
2002-01-02,0.00 ,5.92 ,0.44 
2002-01-03,0.00 ,1.65 ,0.28 
2002-01-04,1.10 ,6.55 ,0.43 
2002-01-05,0.20 ,1.57 ,0.53 
2002-01-06,0.10 ,1.87 ,0.35 
2002-01-07,3.70 ,10.73 ,0.76 
2002-01-08,0.00 ,2.29 ,0.70 
2002-01-09,0.10 ,2.10 ,0.33 
2002-01-10,0.10 ,1.70 ,0.37 
2002-01-11,0.10 ,1.61 ,0.50 
2002-01-12,0.00 ,3.35 ,0.42 
2002-01-13,0.10 ,3.28 ,0.86 
2002-01-14,3.20 ,3.87 ,0.52 
2002-01-15,16.60 ,24.54 ,0.52 
2002-01-16,13.30 ,56.12 ,0.85 
2002-01-17,2.30 ,51.58 ,0.48 
2002-01-18,0.10 ,28.72 ,0.55 
2002-01-19,0.00 ,21.10 ,0.49 
2002-01-20,3.20 ,25.02 ,0.47 
2002-01-21,0.40 ,15.50 ,0.68 
2002-01-22,0.00 ,10.80 ,0.98 
2002-01-23,0.00 ,13.09 ,0.84 
2002-01-24,0.00 ,11.00 ,0.61 
2002-01-25,0.00 ,6.20 ,0.54 
2002-01-26,0.70 ,15.10 ,0.48 
2002-01-27,1.40 ,10.29 ,0.67 
2002-01-28,0.00 ,10.70 ,0.87 
2002-01-29,0.20 ,5.41 ,0.71 
2002-01-30,0.40 ,11.20 ,0.75 
2002-01-31,0.00 ,1.91 ,0.67 
2002-02-01,0.00 ,10.60 ,0.56 
2002-02-02,0.00 ,10.90 ,0.82 
2002-02-03,0.00 ,6.41 ,0.76 
2002-02-04,0.00 ,10.80 ,0.60 
2002-02-05,0.00 ,10.60 ,0.89 
2002-02-06,1.30 ,6.20 ,0.78 
2002-02-07,0.00 ,15.20 ,1.23 
2002-02-08,0.00 ,5.80 ,0.83 
2002-02-09,0.00 ,5.41 ,1.18 
2002-02-10,0.00 ,6.01 ,1.26 
2002-02-11,0.00 ,5.71 ,1.06 
2002-02-12,0.00 ,6.01 ,1.03 
2002-02-13,0.00 ,9.80 ,1.01 
2002-02-14,0.00 ,5.71 ,0.97 
2002-02-15,0.00 ,6.11 ,1.04 
2002-02-16,0.00 ,5.81 ,0.66 
2002-02-17,0.90 ,6.01 ,0.71 
2002-02-18,0.00 ,10.60 ,1.27 
2002-02-19,0.00 ,1.33 ,1.03 
2002-02-20,0.00 ,5.62 ,1.13 
2002-02-21,0.00 ,5.82 ,0.72 
2002-02-22,0.00 ,7.65 ,1.26 
2002-02-23,0.00 ,7.56 ,1.22 
2002-02-24,0.00 ,2.71 ,1.34 
2002-02-25,0.00 ,6.69 ,1.35 
2002-02-26,0.00 ,7.40 ,1.43 
2002-02-27,0.00 ,3.24 ,1.28 
2002-02-28,0.00 ,11.88 ,1.65 
2002-03-01,0.00 ,1.68 ,1.27 
2002-03-02,0.00 ,9.00 ,1.41 
2002-03-03,0.00 ,2.90 ,1.76 
2002-03-04,0.00 ,7.44 ,1.43 
2002-03-05,2.10 ,5.15 ,0.91 
2002-03-06,2.30 ,6.44 ,1.18 
2002-03-07,0.00 ,3.55 ,1.67 
2002-03-08,0.00 ,4.27 ,1.58 
2002-03-09,0.00 ,2.48 ,1.94 
2002-03-10,0.70 ,8.06 ,2.63 
2002-03-11,0.00 ,7.26 ,2.30 
2002-03-12,0.00 ,8.35 ,1.86 
2002-03-13,0.00 ,5.42 ,2.14 
2002-03-14,0.00 ,21.32 ,1.07 
2002-03-15,0.90 ,14.95 ,1.94 
2002-03-16,0.00 ,7.75 ,2.39 
2002-03-17,0.00 ,16.62 ,3.24 
2002-03-18,0.00 ,12.33 ,2.93 
2002-03-19,0.00 ,16.19 ,2.65 
2002-03-20,0.00 ,10.60 ,2.31 
2002-03-21,15.40 ,27.84 ,2.79 
2002-03-22,0.00 ,37.29 ,2.91 
2002-03-23,0.00 ,28.06 ,2.77 
2002-03-24,0.00 ,24.32 ,2.31 
2002-03-25,0.00 ,19.33 ,2.00 
2002-03-26,0.00 ,13.18 ,1.59 
2002-03-27,0.00 ,14.18 ,2.51 
2002-03-28,0.00 ,11.84 ,2.53 
2002-03-29,0.00 ,6.09 ,2.47 
2002-03-30,10.90 ,22.75 ,1.36 
2002-03-31,0.10 ,14.64 ,2.29 
2002-04-01,0.00 ,27.42 ,2.96 
2002-04-02,0.00 ,21.93 ,3.10 
2002-04-03,0.00 ,15.20 ,3.40 
2002-04-04,0.00 ,20.27 ,3.07 
2002-04-05,0.00 ,5.52 ,3.47 
2002-04-06,21.50 ,37.51 ,1.38 
2002-04-07,0.10 ,46.02 ,1.70 
2002-04-08,0.00 ,50.83 ,3.14 
2002-04-09,0.00 ,39.75 ,2.48 
2002-04-10,0.00 ,23.76 ,2.73 
2002-04-11,0.00 ,32.90 ,2.12 
2002-04-12,7.70 ,21.51 ,2.24 
2002-04-13,0.10 ,23.83 ,3.14 
2002-04-14,0.00 ,27.53 ,4.07 
2002-04-15,0.00 ,15.64 ,3.05 
2002-04-16,22.40 ,27.48 ,1.81 
2002-04-17,0.00 ,75.20 ,4.25 
2002-04-18,0.00 ,63.66 ,3.81 
2002-04-19,0.00 ,47.93 ,3.30 
2002-04-20,0.00 ,39.91 ,3.30 
2002-04-21,0.00 ,34.92 ,3.65 
2002-04-22,0.00 ,27.53 ,4.10 
2002-04-23,0.00 ,28.41 ,3.65 
2002-04-24,0.00 ,17.30 ,3.97 
2002-04-25,0.00 ,33.53 ,3.37 
2002-04-26,0.00 ,21.00 ,3.70 
2002-04-27,0.00 ,12.88 ,4.04 
2002-04-28,0.00 ,17.57 ,4.37 
2002-04-29,35.30 ,29.54 ,1.70 
2002-04-30,41.40 ,348.73 ,1.79 
2002-05-01,0.00 ,329.06 ,4.50 
2002-05-02,0.00 ,171.54 ,4.28 
2002-05-03,6.90 ,110.37 ,1.86 
2002-05-04,0.00 ,80.56 ,4.20 
2002-05-05,0.00 ,77.46 ,4.04 
2002-05-06,0.70 ,43.49 ,2.36 
2002-05-07,22.00 ,59.80 ,1.75 
2002-05-08,0.10 ,96.83 ,4.23 
2002-05-09,0.00 ,97.12 ,3.31 
2002-05-10,0.00 ,69.30 ,2.93 
2002-05-11,0.20 ,61.20 ,4.47 
2002-05-12,0.00 ,49.90 ,2.65 
2002-05-13,0.00 ,39.05 ,3.87 
2002-05-14,0.00 ,45.76 ,3.05 
2002-05-15,1.40 ,20.78 ,2.69 
2002-05-16,19.60 ,33.75 ,1.94 
2002-05-17,0.10 ,74.19 ,1.92 
2002-05-18,4.30 ,62.03 ,3.23 
2002-05-19,2.80 ,51.60 ,3.71 
2002-05-20,0.00 ,35.41 ,4.01 
2002-05-21,0.00 ,27.36 ,4.15 
2002-05-22,0.00 ,34.30 ,4.68 
2002-05-23,0.00 ,29.93 ,5.19 
2002-05-24,0.00 ,23.69 ,5.08 
2002-05-25,0.00 ,13.74 ,4.80 
2002-05-26,7.10 ,21.71 ,3.61 
2002-05-27,0.00 ,17.72 ,3.47 
2002-05-28,0.00 ,13.93 ,4.71 
2002-05-29,0.00 ,20.87 ,4.40 
2002-05-30,0.50 ,3.10 ,3.28 
2002-05-31,0.10 ,13.86 ,4.52 
2002-06-01,0.30 ,12.83 ,4.76 
2002-06-02,0.00 ,4.71 ,5.11 
2002-06-03,0.00 ,7.31 ,4.78 
2002-06-04,0.00 ,10.60 ,3.46 
2002-06-05,0.00 ,18.43 ,3.93 
2002-06-06,0.00 ,1.44 ,4.75 
2002-06-07,0.00 ,3.07 ,5.49 
2002-06-08,0.00 ,2.30 ,3.87 
2002-06-09,0.00 ,1.52 ,4.52 
2002-06-10,21.00 ,3.05 ,2.49 
2002-06-11,0.50 ,13.28 ,5.00 
2002-06-12,14.80 ,23.48 ,2.83 
2002-06-13,0.80 ,19.62 ,3.09 
2002-06-14,0.00 ,16.10 ,3.61 
2002-06-15,3.90 ,12.19 ,3.17 
2002-06-16,0.00 ,16.64 ,4.58 
2002-06-17,0.00 ,3.84 ,4.60 
2002-06-18,0.00 ,4.67 ,5.03 
2002-06-19,7.00 ,12.66 ,3.15 
2002-06-20,16.40 ,26.69 ,3.80 
2002-06-21,0.00 ,26.81 ,5.02 
2002-06-22,0.20 ,16.54 ,4.55 
2002-06-23,0.10 ,9.74 ,2.32 
2002-06-24,6.90 ,19.25 ,2.29 
2002-06-25,0.20 ,19.31 ,3.77 
2002-06-26,0.00 ,16.68 ,4.96 
2002-06-27,0.00 ,10.18 ,5.15 
2002-06-28,0.00 ,12.47 ,4.93 
2002-06-29,0.00 ,3.72 ,5.87 
2002-06-30,0.00 ,4.16 ,4.41 
2002-07-01,0.00 ,3.24 ,4.16 
2002-07-02,0.70 ,6.42 ,3.98 
2002-07-03,0.00 ,5.84 ,5.20 
2002-07-04,0.00 ,6.37 ,5.24 
2002-07-05,43.70 ,19.97 ,2.36 
2002-07-06,21.40 ,201.98 ,2.41 
2002-07-07,4.30 ,182.27 ,2.88 
2002-07-08,0.10 ,104.41 ,4.30 
2002-07-09,0.00 ,62.17 ,5.20 
2002-07-10,0.00 ,48.88 ,5.60 
2002-07-11,0.00 ,32.72 ,4.63 
2002-07-12,0.00 ,28.66 ,4.30 
2002-07-13,16.40 ,34.73 ,2.30 
2002-07-14,46.80 ,204.83 ,2.22 
2002-07-15,3.00 ,265.00 ,3.70 
2002-07-16,10.40 ,135.70 ,3.47 
2002-07-17,3.60 ,128.10 ,2.56 
2002-07-18,4.50 ,108.39 ,4.18 
2002-07-19,26.70 ,116.62 ,2.15 
2002-07-20,0.40 ,269.29 ,3.35 
2002-07-21,0.30 ,176.26 ,2.98 
2002-07-22,26.50 ,140.93 ,2.26 
2002-07-23,27.10 ,470.42 ,2.11 
2002-07-24,0.70 ,414.05 ,2.17 
2002-07-25,0.00 ,220.06 ,4.74 
2002-07-26,0.00 ,144.01 ,3.43 
2002-07-27,0.00 ,104.96 ,5.56 
2002-07-28,0.00 ,78.56 ,5.74 
2002-07-29,0.00 ,63.19 ,4.79 
2002-07-30,0.00 ,54.05 ,3.69 
2002-07-31,0.00 ,41.10 ,2.93 
2002-08-01,0.00 ,41.00 ,3.61 
2002-08-02,0.00 ,31.64 ,3.51 
2002-08-03,11.10 ,45.58 ,3.65 
2002-08-04,2.40 ,37.13 ,2.31 
2002-08-05,93.10 ,212.64 ,2.49 
2002-08-06,154.20 ,3449.59 ,2.01 
2002-08-07,98.50 ,2123.84 ,1.94 
2002-08-08,4.90 ,1516.95 ,3.59 
2002-08-09,0.20 ,497.41 ,3.19 
2002-08-10,5.20 ,295.83 ,2.05 
2002-08-11,5.40 ,249.11 ,2.27 
2002-08-12,2.30 ,190.53 ,2.09 
2002-08-13,0.20 ,135.67 ,2.49 
2002-08-14,1.30 ,100.17 ,2.46 
2002-08-15,0.00 ,85.09 ,3.04 
2002-08-16,0.30 ,69.50 ,2.12 
2002-08-17,0.30 ,58.41 ,2.15 
2002-08-18,0.10 ,52.04 ,2.46 
2002-08-19,0.00 ,46.37 ,2.88 
2002-08-20,0.00 ,36.16 ,4.46 
2002-08-21,0.00 ,32.05 ,2.43 
2002-08-22,3.00 ,36.67 ,1.98 
2002-08-23,20.80 ,53.52 ,2.44 
2002-08-24,0.20 ,78.66 ,3.71 
2002-08-25,0.00 ,48.87 ,3.69 
2002-08-26,0.40 ,44.29 ,2.88 
2002-08-27,34.00 ,78.32 ,1.89 
2002-08-28,0.00 ,171.80 ,3.78 
2002-08-29,0.30 ,86.82 ,3.21 
2002-08-30,0.70 ,71.60 ,2.24 
2002-08-31,113.00 ,526.59 ,2.27 
2002-09-01,36.80 ,2871.49 ,2.13 
2002-09-02,0.00 ,596.38 ,3.43 
2002-09-03,0.00 ,285.32 ,3.55 
2002-09-04,0.00 ,188.56 ,2.85 
2002-09-05,0.60 ,124.76 ,2.16 
2002-09-06,1.20 ,108.46 ,3.18 
2002-09-07,0.00 ,87.52 ,4.11 
2002-09-08,0.00 ,91.57 ,3.69 
2002-09-09,0.00 ,63.61 ,3.27 
2002-09-10,0.00 ,49.69 ,3.87 
2002-09-11,0.00 ,46.91 ,3.12 
2002-09-12,8.60 ,50.99 ,1.60 
2002-09-13,0.10 ,43.66 ,2.38 
2002-09-14,5.30 ,35.30 ,2.20 
2002-09-15,0.00 ,60.78 ,1.55 
2002-09-16,0.70 ,33.61 ,1.75 
2002-09-17,0.10 ,19.11 ,3.16 
2002-09-18,0.00 ,34.39 ,2.41 
2002-09-19,0.00 ,23.06 ,2.08 
2002-09-20,0.00 ,28.36 ,1.92 
2002-09-21,0.40 ,20.43 ,1.62 
2002-09-22,0.40 ,35.60 ,2.55 
2002-09-23,0.00 ,12.35 ,2.37 
2002-09-24,0.00 ,28.30 ,2.28 
2002-09-25,0.00 ,2.82 ,2.57 
2002-09-26,0.00 ,29.07 ,2.21 
2002-09-27,0.00 ,14.18 ,2.42 
2002-09-28,1.40 ,4.90 ,2.82 
2002-09-29,5.70 ,18.16 ,2.11 
2002-09-30,1.90 ,29.67 ,1.71 
2002-10-01,0.40 ,14.81 ,1.80 
2002-10-02,2.10 ,11.59 ,2.20 
2002-10-03,3.10 ,20.58 ,1.40 
2002-10-04,0.00 ,15.06 ,1.83 
2002-10-05,5.00 ,24.61 ,1.42 
2002-10-06,13.40 ,35.76 ,1.30 
2002-10-07,0.00 ,25.04 ,1.97 
2002-10-08,0.00 ,22.31 ,1.71 
2002-10-09,0.00 ,18.45 ,1.67 
2002-10-10,0.00 ,12.12 ,1.62 
2002-10-11,0.00 ,16.61 ,1.68 
2002-10-12,0.00 ,9.37 ,1.48 
2002-10-13,0.00 ,11.69 ,1.79 
2002-10-14,0.00 ,18.90 ,1.47 
2002-10-15,1.80 ,1.26 ,1.74 
2002-10-16,0.00 ,20.54 ,1.52 
2002-10-17,0.00 ,13.03 ,1.47 
2002-10-18,0.00 ,8.87 ,1.35 
2002-10-19,1.20 ,7.89 ,2.07 
2002-10-20,0.90 ,14.05 ,1.69 
2002-10-21,1.30 ,29.17 ,1.30 
2002-10-22,0.00 ,21.43 ,1.15 
2002-10-23,0.00 ,20.04 ,0.93 
2002-10-24,0.00 ,13.59 ,1.31 
2002-10-25,3.70 ,13.96 ,1.07 
2002-10-26,23.30 ,42.37 ,1.42 
2002-10-27,0.00 ,43.59 ,1.97 
2002-10-28,0.10 ,26.20 ,1.72 
2002-10-29,0.00 ,29.23 ,1.05 
2002-10-30,0.00 ,14.93 ,0.89 
2002-10-31,0.00 ,13.50 ,1.51 
2002-11-01,0.00 ,16.17 ,1.54 
2002-11-02,0.00 ,9.19 ,1.26 
2002-11-03,0.00 ,15.03 ,1.75 
2002-11-04,0.00 ,9.14 ,1.50 
2002-11-05,0.00 ,15.60 ,0.88 
2002-11-06,0.00 ,4.05 ,0.82 
2002-11-07,2.50 ,15.82 ,1.10 
2002-11-08,0.00 ,9.48 ,1.37 
2002-11-09,0.10 ,13.85 ,1.04 
2002-11-10,0.00 ,6.45 ,0.72 
2002-11-11,0.00 ,2.62 ,1.82 
2002-11-12,0.00 ,11.16 ,2.33 
2002-11-13,0.00 ,10.39 ,1.36 
2002-11-14,0.10 ,10.36 ,0.73 
2002-11-15,0.00 ,4.74 ,0.78 
2002-11-16,0.00 ,10.18 ,0.62 
2002-11-17,0.60 ,4.58 ,0.60 
2002-11-18,0.20 ,8.96 ,0.89 
2002-11-19,0.10 ,5.98 ,0.50 
2002-11-20,0.90 ,4.25 ,0.51 
2002-11-21,0.10 ,10.86 ,0.57 
2002-11-22,0.30 ,5.49 ,0.56 
2002-11-23,0.10 ,6.36 ,0.57 
2002-11-24,0.10 ,5.34 ,0.51 
2002-11-25,0.00 ,11.40 ,0.50 
2002-11-26,0.00 ,5.83 ,0.56 
2002-11-27,0.00 ,6.66 ,0.81 
2002-11-28,0.00 ,2.75 ,0.51 
2002-11-29,1.30 ,8.78 ,0.48 
2002-11-30,0.00 ,8.24 ,0.52 
2002-12-01,0.00 ,3.15 ,0.45 
2002-12-02,0.00 ,2.04 ,0.47 
2002-12-03,0.00 ,4.11 ,0.46 
2002-12-04,0.00 ,2.49 ,0.71 
2002-12-05,0.00 ,3.58 ,0.82 
2002-12-06,0.00 ,9.83 ,0.72 
2002-12-07,2.30 ,4.10 ,0.89 
2002-12-08,6.40 ,11.84 ,0.55 
2002-12-09,3.80 ,1.17 ,0.66 
2002-12-10,0.10 ,1.19 ,0.45 
2002-12-11,0.10 ,1.11 ,0.41 
2002-12-12,0.10 ,7.59 ,0.38 
2002-12-13,0.10 ,2.22 ,0.33 
2002-12-14,0.10 ,2.64 ,0.33 
2002-12-15,0.10 ,3.91 ,0.40 
2002-12-16,11.50 ,8.13 ,0.46 
2002-12-17,1.20 ,13.99 ,0.45 
2002-12-18,0.00 ,17.33 ,0.45 
2002-12-19,0.00 ,18.26 ,0.42 
2002-12-20,0.00 ,3.42 ,0.42 
2002-12-21,0.20 ,8.36 ,0.59 
2002-12-22,0.20 ,12.86 ,0.86 
2002-12-23,4.40 ,9.30 ,0.57 
2002-12-24,5.30 ,14.78 ,0.58 
2002-12-25,5.60 ,11.92 ,0.69 
2002-12-26,0.60 ,8.68 ,0.57 
2002-12-27,0.10 ,2.60 ,0.34 
2002-12-28,0.10 ,7.95 ,0.35 
2002-12-29,0.10 ,4.12 ,0.34 
2002-12-30,0.00 ,4.35 ,0.34 
2002-12-31,0.10 ,2.15 ,0.39 
2003-01-01,0.10 ,7.54 ,0.44 
2003-01-02,0.10 ,1.02 ,0.39 
2003-01-03,0.70 ,3.50 ,0.47 
2003-01-04,0.00 ,6.10 ,0.58 
2003-01-05,0.00 ,2.65 ,0.44 
2003-01-06,0.00 ,3.02 ,0.28 
2003-01-07,0.10 ,3.71 ,0.31 
2003-01-08,0.10 ,4.72 ,0.33 
2003-01-09,0.10 ,5.66 ,0.33 
2003-01-10,0.10 ,6.91 ,0.35 
2003-01-11,0.00 ,6.68 ,0.35 
2003-01-12,0.00 ,6.46 ,0.42 
2003-01-13,0.00 ,6.27 ,0.52 
2003-01-14,2.00 ,7.29 ,0.78 
2003-01-15,0.00 ,6.05 ,0.56 
2003-01-16,0.00 ,5.45 ,0.54 
2003-01-17,6.00 ,7.38 ,0.45 
2003-01-18,1.80 ,13.97 ,0.46 
2003-01-19,0.00 ,6.69 ,0.49 
2003-01-20,0.00 ,6.04 ,0.50 
2003-01-21,0.00 ,5.84 ,0.55 
2003-01-22,0.90 ,11.08 ,0.41 
2003-01-23,1.40 ,6.46 ,0.51 
2003-01-24,0.00 ,10.28 ,0.52 
2003-01-25,0.00 ,6.06 ,0.54 
2003-01-26,0.00 ,2.55 ,0.58 
2003-01-27,5.10 ,21.88 ,0.58 
2003-01-28,0.00 ,18.03 ,0.79 
