date,rf,inflow,etp
2002-01-01,4.4,15.5,0.94
2002-01-02,0,15.5,0.83
2002-01-03,0,15.5,0.74
2002-01-04,0,15.5,1.39
2002-01-05,0,17,1.04
2002-01-06,0,17,0.66
2002-01-07,6.2,17,0.91
2002-01-08,0.1,19.9,0.76
2002-01-09,0.4,17,0.72
2002-01-10,0.4,18.4,0.87
2002-01-11,0,17,0.87
2002-01-12,0,15.6,0.72
2002-01-13,0,17,0.77
2002-01-14,0.1,17,1
2002-01-15,30.3,22.7,1.35
2002-01-16,23.5,84.4,0.99
2002-01-17,2.3,76.9,0.67
2002-01-18,0,49.5,0.71
2002-01-19,0,36.2,0.71
2002-01-20,3.6,30.3,0.64
2002-01-21,2.5,30.3,0.76
2002-01-22,0.7,25.8,0.83
2002-01-23,0,24.3,0.81
2002-01-24,0.3,21.3,0.72
2002-01-25,0.1,22.8,0.67
2002-01-26,5.7,21.3,0.63
2002-01-27,2.1,21.3,0.74
2002-01-28,0,21.3,0.98
2002-01-29,0,18.3,0.92
2002-01-30,0,21.3,1.16
2002-01-31,0,18.3,0.7
2002-02-01,0.1,16.8,0.72
2002-02-02,0.1,18.3,0.76
2002-02-03,0,16.8,0.86
2002-02-04,0,16.8,0.61
2002-02-05,0,16.8,1.02
2002-02-06,0.2,16.8,1.23
2002-02-07,0.1,16.8,1.44
2002-02-08,0.6,16.8,1
2002-02-09,0,16.8,1.52
2002-02-10,1.2,18.3,0.85
2002-02-11,0.4,16.8,0.98
2002-02-12,0,16.8,0.93
2002-02-13,0,16.9,1.17
2002-02-14,0,16.9,1.06
2002-02-15,0,15.4,1.1
2002-02-16,0,16.9,1.02
2002-02-17,0,15.4,0.97
2002-02-18,0,16.9,1.38
2002-02-19,0,16.9,1.32
2002-02-20,0,16.9,1.28
2002-02-21,6.3,19.8,0.82
2002-02-22,0.1,18.4,1.15
2002-02-23,0,18.4,1.38
2002-02-24,0,15.5,1.42
2002-02-25,0,15.5,1.3
2002-02-26,0,16.9,1.28
2002-02-27,1,15.5,1.13
2002-02-28,0,15.5,1.51
2002-03-01,0,15.5,1.44
2002-03-02,0,17,1.25
2002-03-03,0,14.8,1.4
2002-03-04,0,16.3,1.62
2002-03-05,11.2,17.7,0.89
2002-03-06,2.9,19.2,1.16
2002-03-07,0,19.1,1.7
2002-03-08,0,19.1,1.54
2002-03-09,0,17.6,2.14
2002-03-10,3.5,16.2,2.1
2002-03-11,0,19.1,1.98
2002-03-12,0,17.6,1.99
2002-03-13,0,20.5,2.31
2002-03-14,11.2,19.1,1.22
2002-03-15,0.2,20.5,2
2002-03-16,0,21.9,2.67
2002-03-17,0,20.5,2.52
2002-03-18,0,20.5,2.62
2002-03-19,0,20.5,2.43
2002-03-20,0,20.5,2.95
2002-03-21,16.6,23.4,2.53
2002-03-22,7.2,30.5,1.58
2002-03-23,0,30.7,2.41
2002-03-24,0,27.8,2.16
2002-03-25,0,24.9,2.29
2002-03-26,0,23.5,1.61
2002-03-27,0,20.6,3.03
2002-03-28,0,22,2.63
2002-03-29,5.9,20.6,2.41
2002-03-30,1.2,20.6,2.74
2002-03-31,0.2,20.6,2.74
2002-04-01,0,19.2,2.92
2002-04-02,0,17.7,3.09
2002-04-03,0,17.7,3.26
2002-04-04,0,17.7,3.09
2002-04-05,0.7,16.3,3.63
2002-04-06,27.4,23.5,2.05
2002-04-07,0,39.4,3.25
2002-04-08,0,30.8,3.23
2002-04-09,0,26.4,2.84
2002-04-10,0,23.5,2.64
2002-04-11,0.1,22.2,2.54
2002-04-12,1.7,20.7,2.81
2002-04-13,0.1,20.7,3.67
2002-04-14,0,19.2,4.62
2002-04-15,2.7,20.7,2.41
2002-04-16,111.3,396.8,2.63
2002-04-17,0,140.2,3.69
2002-04-18,0,64.3,3.04
2002-04-19,0,44,3.09
2002-04-20,0,33.8,3
2002-04-21,0,30.4,3.61
2002-04-22,0,26.9,3.78
2002-04-23,0.7,23.4,2.21
2002-04-24,0,25.2,3.16
2002-04-25,0,21.7,3.28
2002-04-26,0,21.7,3.34
2002-04-27,0,16.5,3.4
2002-04-28,0,18.2,3.77
2002-04-29,1.6,16.5,2.71
2002-04-30,46.7,51.3,2.37
2002-05-01,5.2,96,3.3
2002-05-02,0,54.2,4.41
2002-05-03,40,168.6,2.01
2002-05-04,0.4,93.7,3.89
2002-05-05,0,54.7,2.77
2002-05-06,19.7,49.1,2.2
2002-05-07,40.5,241.2,1.91
2002-05-08,0,128.8,1.99
2002-05-09,0,70.5,3.21
2002-05-10,0,49.9,3.28
2002-05-11,0,37.6,3.94
2002-05-12,0,31.3,4.32
2002-05-13,0,27.1,3.76
2002-05-14,3.5,25,2.42
2002-05-15,9.4,33.4,2.79
2002-05-16,0.8,29.2,2.25
2002-05-17,3,27.1,2.04
2002-05-18,2.9,31.4,1.97
2002-05-19,0.1,27.1,3.66
2002-05-20,0,25,4.16
2002-05-21,0,22.9,3.96
2002-05-22,2,22.9,4.3
2002-05-23,0,20.8,4.95
2002-05-24,0,18.7,4.74
2002-05-25,0,16.5,4.81
2002-05-26,0.1,16.6,4.8
2002-05-27,0,16.6,4.27
2002-05-28,0,16.6,3.32
2002-05-29,0,16.6,4.69
2002-05-30,2.5,16.6,2.85
2002-05-31,0,16.6,4.21
2002-06-01,0.2,16.6,5.24
2002-06-02,1.9,16.6,4.09
2002-06-03,0.4,16.5,4.42
2002-06-04,0,16.5,4.37
2002-06-05,0,16.5,4.53
2002-06-06,0,14.5,5.23
2002-06-07,0,14.5,5.2
2002-06-08,0.3,14.5,4.51
2002-06-09,0,14.5,4.57
2002-06-10,14.3,14.5,3.53
2002-06-11,15.3,24.9,4.64
2002-06-12,3.3,24.9,4.93
2002-06-13,0,20.7,4.53
2002-06-14,0,14.5,4.36
2002-06-15,2.9,16.6,2.78
2002-06-16,0.6,16.6,3.9
2002-06-17,0.6,14.5,3.61
2002-06-18,0,16.5,4.63
2002-06-19,0,16.5,4.17
2002-06-20,0.1,14.5,4.41
2002-06-21,0,14.5,4.94
2002-06-22,0,14.5,3.77
2002-06-23,9.2,16.6,2.53
2002-06-24,18.6,20.7,2.69
2002-06-25,0,22.7,2.91
2002-06-26,0,18.6,4.2
2002-06-27,0,16.6,3.83
2002-06-28,0.1,14.6,4.44
2002-06-29,0,14.6,4.54
2002-06-30,5,16.5,2.58
2002-07-01,0,14.5,2.91
2002-07-02,0,16.5,3.47
2002-07-03,0,14.5,4.46
2002-07-04,2.5,14.5,4.1
2002-07-05,62.2,46.8,2.94
2002-07-06,10.8,94,2.96
2002-07-07,0.1,53.6,4.78
2002-07-08,6.7,35.2,2.21
2002-07-09,5,35.2,3.2
2002-07-10,0.6,31.1,4.34
2002-07-11,0.3,27,3.89
2002-07-12,0,10.4,5.03
2002-07-13,1.5,9.1,2.93
2002-07-14,4,7.8,2.81
2002-07-15,2.4,9.9,4.82
2002-07-16,0,7.8,5.46
2002-07-17,0,7.8,4.3
2002-07-18,0,1.6,4.05
2002-07-19,19.4,7.8,2.99
2002-07-20,2.3,9.9,4.69
2002-07-21,9.6,18.2,4.09
2002-07-22,14.7,26.6,2.49
2002-07-23,0.3,34.9,4.46
2002-07-24,0.1,17.4,4.58
2002-07-25,0,16.1,4.98
2002-07-26,1.4,12.9,4.27
2002-07-27,0.1,11.3,5.23
2002-07-28,0,9.4,4.18
2002-07-29,0,4.9,3.59
2002-07-30,0,2,3.55
2002-07-31,0,3.5,4.71
2002-08-01,0,3.6,4.57
2002-08-02,0,1.6,4.47
2002-08-03,0,1.5,3.82
2002-08-04,0,1.5,4.38
2002-08-05,0.3,3.6,4.04
2002-08-06,126.9,110.9,2.72
2002-08-07,123.2,891.9,2.61
2002-08-08,45.6,445.2,2.51
2002-08-09,5,261.3,2.4
2002-08-10,26.3,143.7,2.47
2002-08-11,9.9,200.2,1.89
2002-08-12,55.6,243.4,1.99
2002-08-13,12.9,369,2.34
2002-08-14,60.9,232.4,1.98
2002-08-15,47.5,778,2
2002-08-16,5.1,168.1,2
2002-08-17,9.3,104.5,3.88
2002-08-18,0,75.7,3.08
2002-08-19,0,47.8,3.38
2002-08-20,2.9,37.8,2.68
2002-08-21,0,27.1,2.94
2002-08-22,7.5,30.7,2.14
2002-08-23,2.4,23.5,2.69
2002-08-24,0,23.4,3.73
2002-08-25,0,20,3.4
2002-08-26,0.8,20,3.18
2002-08-27,9.9,17.3,3.84
2002-08-28,4.4,19.3,3.32
2002-08-29,0.1,20.7,3.87
2002-08-30,3.4,17,2.9
2002-08-31,186,1021.7,2.82
2002-09-01,8,654.9,2.38
2002-09-02,0,184.7,3.9
2002-09-03,0,110.4,3.83
2002-09-04,0.1,96.6,3.6
